시도,시군구,사고월,사고년도,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
시도,시군구,사고월,사고년도,01일,02일,03일,04일,05일,06일,07일,08일,09일,10일,11일,12일,13일,14일,15일,16일,17일,18일,19일,20일,21일,22일,23일,24일,25일,26일,27일,28일,29일,30일,31일
서울,강서구,03월,사망[명],1,0,0,0,1,0,0,0,1,0,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,강서구,03월,부상[명],7,11,6,5,1,6,3,3,4,5,-,2,6,3,10,5,2,3,6,5,6,12,4,3,2,7,10,6,6,1,6
서울,강서구,04월,사고[건],7,3,4,4,7,5,7,9,-,2,4,6,3,6,2,1,5,4,6,4,6,7,4,6,3,8,7,3,4,2,-
서울,강서구,04월,사망[명],0,0,0,0,0,0,0,0,-,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
서울,강서구,04월,부상[명],8,3,4,6,12,5,8,13,-,2,6,6,6,5,3,2,5,5,8,6,11,10,11,9,3,11,9,5,6,3,-
서울,강서구,05월,사고[건],4,2,3,10,3,4,4,8,4,4,2,6,5,4,3,10,6,2,7,3,2,6,8,4,1,8,2,2,2,1,4
서울,강서구,05월,사망[명],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,강서구,05월,부상[명],8,3,7,17,3,4,5,12,5,6,3,8,6,4,3,16,7,2,10,3,2,7,12,6,1,10,2,5,3,1,4
서울,강서구,06월,사고[건],4,8,1,4,2,2,3,3,2,4,2,6,5,6,9,7,2,3,4,4,8,4,8,5,3,2,1,7,7,7,-
서울,강서구,06월,사망[명],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
서울,강서구,06월,부상[명],6,9,15,14,2,7,5,5,2,5,3,8,8,8,12,8,2,6,4,5,12,4,11,6,11,2,1,7,8,8,-
서울,강서구,07월,사고[건],3,3,4,4,2,3,2,4,5,3,3,2,7,1,5,6,8,3,2,4,1,8,3,5,4,3,5,7,4,3,4
서울,강서구,07월,사망[명],0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,강서구,07월,부상[명],4,8,5,4,5,6,2,4,8,8,4,1,9,1,9,11,12,4,2,5,3,10,3,5,5,3,5,15,5,5,4
서울,강서구,08월,사고[건],3,7,6,4,1,1,5,5,3,4,7,3,2,6,2,3,3,6,5,5,1,2,2,3,7,5,5,4,2,6,10
