,일자,종로구,마포구,강서구,구로구,영등포구,동작구,관악구,강남구,강동구,송파구,서초구,중구,양천구,중랑구,노원구,광진구,강북구,금천구,용산구,성동구,동대문구,성북구,도봉구,은평구,서대문구
110,2023-04-21,3,3,6,4,2,4,2,11,5,5,4,2,2,3,4,3,3,5,5,1,4,2,3,3,0
111,2023-04-22,3,5,7,4,3,0,5,10,5,10,8,2,0,1,2,0,4,2,5,1,2,3,1,2,2
112,2023-04-23,2,2,4,2,4,1,2,7,3,4,3,1,3,3,2,0,2,4,1,3,6,1,3,2,1
113,2023-04-24,3,2,6,11,4,3,2,9,4,6,3,3,4,3,1,1,3,3,3,2,4,1,3,2,1
114,2023-04-25,2,3,3,6,6,3,1,17,1,10,6,4,2,2,4,2,5,3,2,5,5,11,1,1,1
115,2023-04-26,1,3,8,2,7,4,2,10,3,11,3,1,6,4,5,2,3,4,5,1,4,5,1,4,4
116,2023-04-27,4,5,7,9,4,4,5,14,3,4,11,3,3,0,2,1,2,0,5,1,3,5,2,2,1
117,2023-04-28,3,5,3,3,7,3,2,22,2,12,7,1,3,3,3,3,2,6,2,2,8,3,0,5,3
118,2023-04-29,2,2,4,1,8,3,2,16,2,6,7,1,3,3,4,3,5,3,0,4,6,3,3,3,1
119,2023-04-30,5,6,2,2,8,2,3,5,2,5,1,4,0,1,5,1,3,2,3,2,5,2,2,4,3
120,2023-05-01,3,2,4,0,6,2,2,10,2,6,6,2,1,7,6,1,2,3,1,2,3,1,1,3,2
121,2023-05-02,4,5,2,3,3,3,4,13,4,4,7,1,3,4,1,0,1,2,4,0,10,2,0,1,6
122,2023-05-03,2,3,3,2,6,5,4,9,4,6,3,2,6,6,2,0,5,1,2,2,5,6,2,4,2
123,2023-05-04,2,7,10,4,6,1,1,11,6,9,7,0,2,2,4,2,3,3,3,5,5,5,5,2,2
124,2023-05-05,0,2,3,0,3,5,2,6,1,5,3,2,2,2,4,1,0,2,1,5,4,6,0,4,1
125,2023-05-06,2,2,4,6,3,2,0,7,6,7,5,2,2,3,0,1,1,3,1,4,1,3,1,2,0
126,2023-05-07,1,5,4,5,2,4,3,5,2,4,4,3,7,3,3,1,3,2,4,1,4,4,1,3,4
127,2023-05-08,3,3,8,4,5,5,1,7,3,13,10,4,2,1,4,4,0,4,1,0,4,3,2,6,4
128,2023-05-09,3,8,4,5,2,5,5,13,3,7,6,6,3,5,4,3,3,2,0,3,2,1,0,4,4
129,2023-05-10,2,1,4,2,8,3,7,7,8,6,4,2,0,7,2,4,2,1,4,3,9,3,1,1,3
130,2023-05-11,5,5,2,1,8,3,3,10,4,9,4,2,2,4,4,1,4,4,3,4,6,5,0,3,3
131,2023-05-12,2,3,6,4,1,0,0,24,5,9,8,2,1,4,0,3,3,3,3,1,2,1,2,2,4
132,2023-05-13,2,1,5,3,6,3,2,15,5,2,4,0,3,4,5,2,2,2,4,2,5,1,2,4,4
133,2023-05-14,1,4,4,4,6,2,2,6,1,4,7,1,4,2,7,2,2,0,2,2,5,1,0,2,2
134,2023-05-15,3,5,3,6,12,3,3,12,6,12,7,2,3,4,7,2,4,1,1,2,3,6,1,0,0
135,2023-05-16,4,3,10,8,5,4,2,11,3,9,8,1,3,3,8,3,2,1,3,3,8,4,3,8,7
136,2023-05-17,4,4,6,3,8,1,4,8,2,9,4,2,4,3,7,4,2,4,2,2,7,4,2,3,2
137,2023-05-18,2,6,2,4,5,1,8,13,6,2,7,1,9,5,1,2,3,4,2,3,5,4,1,2,0
138,2023-05-19,4,3,7,11,7,4,2,14,7,8,7,0,2,7,6,3,2,3,4,4,6,4,2,3,4
139,2023-05-20,3,5,3,4,10,6,3,12,1,11,8,2,1,4,2,3,2,1,1,5,6,4,1,3,3
140,2023-05-21,3,5,2,4,3,4,1,9,4,6,7,1,8,4,4,1,1,0,1,2,6,2,1,3,5
141,2023-05-22,4,2,6,5,3,3,0,11,3,7,7,3,3,2,5,5,5,4,4,4,5,2,1,2,3
142,2023-05-23,3,3,8,6,4,3,4,7,3,6,7,3,5,8,5,1,3,2,2,3,3,6,0,4,4
143,2023-05-24,2,4,4,5,6,6,4,12,3,7,7,1,1,2,5,1,6,0,5,3,5,3,0,3,3
144,2023-05-25,6,5,1,2,7,4,5,8,4,8,4,1,3,2,5,3,3,2,6,1,5,3,1,3,3
145,2023-05-26,2,3,8,5,3,7,1,10,4,5,9,1,4,7,2,5,4,0,4,2,4,4,2,6,2
146,2023-05-27,4,3,2,2,7,2,5,9,2,12,8,5,4,3,1,1,4,1,4,1,6,2,3,0,0
147,2023-05-28,4,5,2,4,3,3,3,6,2,7,3,5,4,2,8,1,3,3,1,1,2,2,1,6,2
148,2023-05-29,2,4,2,3,5,3,5,6,1,5,5,1,0,4,3,1,4,0,1,0,5,4,3,4,6
149,2023-05-30,5,2,1,2,1,3,3,12,1,6,7,5,4,5,6,1,2,5,2,2,6,7,1,2,5
150,2023-05-31,1,4,4,5,1,2,4,12,5,10,2,4,3,2,1,3,6,2,1,0,6,5,0,0,2
151,2023-06-01,4,6,4,1,3,3,4,8,5,9,5,0,3,4,2,0,4,3,1,0,3,6,2,3,5
152,2023-06-02,2,1,8,7,6,4,3,17,6,4,12,3,3,3,5,3,0,2,5,0,5,5,6,2,4
153,2023-06-03,4,2,1,8,4,4,5,5,0,8,4,3,3,4,3,2,0,3,3,1,2,6,1,3,1
154,2023-06-04,0,2,4,4,2,3,4,6,1,2,4,2,5,1,3,0,3,2,2,3,4,1,0,0,0
155,2023-06-05,4,4,2,7,4,7,3,8,4,5,7,1,5,5,1,3,5,0,3,1,6,2,3,3,3
156,2023-06-06,0,3,2,3,4,1,0,7,2,8,3,3,3,2,2,3,4,1,2,3,0,1,1,3,1
157,2023-06-07,1,6,3,2,5,5,5,12,4,3,6,0,0,5,4,2,1,2,1,1,7,2,2,3,3
158,2023-06-08,4,4,3,1,7,6,3,8,6,9,9,1,3,5,8,3,3,3,5,4,3,4,1,5,3
159,2023-06-09,2,2,2,6,6,5,5,14,4,7,9,6,4,4,7,0,1,4,2,5,4,3,1,6,4
160,2023-06-10,4,5,4,3,5,4,2,8,2,4,7,0,4,3,6,0,0,2,5,1,2,1,2,4,3
161,2023-06-11,1,3,2,1,3,2,4,10,4,8,6,2,1,0,2,1,3,0,0,0,2,4,2,3,0
162,2023-06-12,4,2,6,2,8,3,0,8,1,8,6,3,6,6,7,2,6,3,2,3,8,8,4,2,2
163,2023-06-13,4,4,5,0,5,1,3,12,0,5,8,7,3,4,4,2,7,3,2,1,5,5,3,1,4
